wl:mh,wl:hot,region,type,count,throughput,avg,p50,p95,p99,pMax
0,1000,us-west-1,deadlock,2729,30.3,6110.1,5368.7,14495.5,20401.1,26843.5
0,1000,us-west-1,too-old,315,3.5,7144.4,6442.5,16106.1,19327.4,21474.8
0,1000,us-west-1,other,35,0.4,5830.3,5100.3,12348.0,18253.6,18253.6
0,1000,us-west-1,write,25778,286.4,2540.4,1140.9,10200.5,15569.3,27917.3
0,1000,us-west-2,deadlock,2653,29.5,5820.4,5100.3,13958.6,18253.6,30064.8
0,1000,us-west-2,too-old,364,4.0,6371.4,5368.7,13958.6,20401.1,24696.1
0,1000,us-west-2,other,39,0.4,7074.0,6174.0,14495.5,18253.6,18253.6
0,1000,us-west-2,write,26548,295.0,2547.7,1275.1,9663.7,15032.4,33286.0
0,1000,eu-west-1,deadlock,2976,33.1,5831.6,5368.7,12884.9,17179.9,32212.3
0,1000,eu-west-1,too-old,381,4.2,6788.1,6442.5,13958.6,21474.8,24696.1
0,1000,eu-west-1,other,34,0.4,7726.4,6710.9,13421.8,20401.1,20401.1
0,1000,eu-west-1,write,26668,296.3,2473.3,1208.0,9663.7,13958.6,30064.8
0,1000,eu-west-2,deadlock,2403,26.7,6665.8,5637.1,15569.3,22548.6,47244.6
0,1000,eu-west-2,too-old,295,3.3,7650.0,6174.0,19327.4,24696.1,36507.2
0,1000,eu-west-2,other,27,0.3,6621.4,6174.0,11811.2,21474.8,21474.8
0,1000,eu-west-2,write,23877,265.3,2795.4,1275.1,11274.3,18253.6,45097.2
0,100,us-east-1,deadlock,7268,80.8,9151.8,6174.0,27917.3,42949.7,85899.3
0,100,us-east-1,too-old,173,1.9,10936.0,7516.2,30064.8,45097.2,53687.1
0,100,us-east-1,other,30,0.3,7550.9,4831.8,23622.3,26843.5,26843.5
0,100,us-east-1,write,1483,16.5,8857.5,6174.0,26843.5,40802.2,81604.4
0,100,us-east-2,deadlock,6883,76.5,9628.5,6979.3,27917.3,47244.6,85899.3
0,100,us-east-2,too-old,152,1.7,10729.7,8053.1,28991.0,36507.2,51539.6
0,100,us-east-2,other,34,0.4,8630.4,6710.9,22548.6,42949.7,42949.7
0,100,us-east-2,write,1391,15.5,8725.4,6174.0,24696.1,38654.7,60129.5
0,100,us-west-1,deadlock,6957,77.3,9261.5,6174.0,28991.0,45097.2,85899.3
0,100,us-west-1,too-old,152,1.7,11503.7,8053.1,33286.0,40802.2,53687.1
0,100,us-west-1,other,33,0.4,10750.9,10737.4,23622.3,31138.5,31138.5
0,100,us-west-1,write,1659,18.4,8210.3,5368.7,26843.5,40802.2,77309.4
0,100,us-west-2,deadlock,7459,82.9,8830.4,6442.5,25769.8,36507.2,64424.5
0,100,us-west-2,too-old,204,2.3,10463.8,7247.8,26843.5,38654.7,51539.6
0,100,us-west-2,other,45,0.5,9486.6,6710.9,30064.8,45097.2,45097.2
0,100,us-west-2,write,1540,17.1,8046.8,5905.6,24696.1,34359.7,62277.0
0,100,eu-west-1,deadlock,7095,78.8,9392.5,6442.5,27917.3,40802.2,81604.4
0,100,eu-west-1,too-old,151,1.7,11498.7,8589.9,28991.0,40802.2,40802.2
0,100,eu-west-1,other,37,0.4,12956.5,9663.7,30064.8,45097.2,45097.2
0,100,eu-west-1,write,1459,16.2,8642.9,5905.6,26843.5,40802.2,85899.3
0,100,eu-west-2,deadlock,6779,75.3,9284.7,6442.5,27917.3,40802.2,66572.0
0,100,eu-west-2,too-old,166,1.8,10237.9,7784.6,28991.0,32212.3,38654.7
0,100,eu-west-2,other,29,0.3,13245.3,10200.5,40802.2,45097.2,45097.2
0,100,eu-west-2,write,1515,16.8,8822.6,6174.0,26843.5,40802.2,73014.4
0,10,us-east-1,deadlock,1190,13.2,26845.3,20401.1,77309.4,81604.4,81604.4
0,10,us-east-1,too-old,23,0.3,21416.5,22548.6,40802.2,40802.2,40802.2
0,10,us-east-1,other,1,0.0,11542.7,11811.2,11811.2,11811.2,11811.2
0,10,us-east-1,write,22,0.2,28213.3,24696.1,73014.4,73014.4,73014.4
0,10,us-east-2,deadlock,1388,15.4,25051.8,22548.6,64424.5,81604.4,85899.3
0,10,us-east-2,too-old,4,0.0,29444.0,19327.4,49392.1,49392.1,49392.1
0,10,us-east-2,other,1,0.0,59055.8,60129.5,60129.5,60129.5,60129.5
0,10,us-east-2,write,28,0.3,20321.8,11811.2,62277.0,66572.0,66572.0
0,10,us-west-1,deadlock,1243,13.8,30345.2,23622.3,81604.4,85899.3,90194.3
0,10,us-west-1,too-old,10,0.1,51271.2,47244.6,85899.3,85899.3,85899.3
0,10,us-west-1,write,33,0.4,28343.0,23622.3,77309.4,85899.3,85899.3
0,10,us-west-2,deadlock,1484,16.5,26769.4,21474.8,73014.4,85899.3,90194.3
0,10,us-west-2,too-old,9,0.1,52792.3,51539.6,85899.3,85899.3,85899.3
0,10,us-west-2,write,17,0.2,23361.2,21474.8,62277.0,64424.5,64424.5
0,10,eu-west-1,deadlock,1269,14.1,27383.1,20401.1,77309.4,85899.3,85899.3
0,10,eu-west-1,too-old,17,0.2,31233.3,31138.5,53687.1,60129.5,60129.5
0,10,eu-west-1,write,21,0.2,27201.4,25769.8,81604.4,81604.4,81604.4
0,10,eu-west-2,deadlock,1338,14.9,30221.0,25769.8,85899.3,90194.3,90194.3
0,10,eu-west-2,too-old,2,0.0,35433.5,36507.2,36507.2,36507.2,36507.2
0,10,eu-west-2,write,25,0.3,30321.0,33286.0,73014.4,73014.4,73014.4
50,1000000,us-east-1,write,189944,2110.4,472.0,285.2,973.1,1073.7,2818.6
50,1000000,us-east-2,deadlock,37,0.4,767.6,906.0,1073.7,1073.7,1073.7
50,1000000,us-east-2,write,201209,2235.5,445.5,251.7,1073.7,1140.9,2818.6
50,1000000,us-west-1,deadlock,6,0.1,890.6,1073.7,1140.9,1140.9,1140.9
50,1000000,us-west-1,write,172366,1915.1,519.2,268.4,1677.7,1744.8,3623.9
50,1000000,us-west-2,deadlock,28,0.3,844.4,1040.2,1140.9,1208.0,1208.0
50,1000000,us-west-2,write,168529,1872.4,530.8,260.0,1543.5,1610.6,3355.4
50,1000000,eu-west-1,deadlock,29,0.3,908.1,1006.6,1208.0,1208.0,1208.0
50,1000000,eu-west-1,write,170157,1890.5,525.6,159.4,1610.6,1610.6,3758.1
50,1000000,eu-west-2,deadlock,1,0.0,1308.6,1342.2,1342.2,1342.2,1342.2
50,1000000,eu-west-2,write,159984,1777.5,558.4,159.4,1677.7,1744.8,3623.9
50,100000,us-east-1,deadlock,140,1.6,717.3,872.4,1040.2,1073.7,1140.9
50,100000,us-east-1,write,199316,2214.5,449.1,243.3,973.1,1140.9,3355.4
50,100000,us-east-2,deadlock,261,2.9,708.6,771.8,1140.9,1140.9,1140.9
50,100000,us-east-2,too-old,1,0.0,1241.5,1275.1,1275.1,1275.1,1275.1
50,100000,us-east-2,write,190925,2121.4,468.8,268.4,1140.9,1275.1,3892.3
50,100000,us-west-1,deadlock,153,1.7,900.7,1073.7,1208.0,1342.2,1476.4
50,100000,us-west-1,write,160659,1785.0,555.6,285.2,1744.8,1879.0,5637.1
50,100000,us-west-2,deadlock,81,0.9,850.1,1040.2,1140.9,1208.0,1208.0
